,phrase,label,sentiment,subjectivity,language,count
taz,taz,ORG,0.2333333333333333,0.0,de,3
Opec+,Opec+,ORG,0.0,0.6666666666666666,de,3
Rolls-Royce,Rolls-Royce,ORG,0.0,0.0,de,3
BÜCHERSCHAU,BÜCHERSCHAU,ORG,0.0,0.0,de,3
BewÃ¤ltigung,BewÃ¤ltigung,ORG,0.3333333333333333,0.0,de,3
Leipziger Volkszeitung,Leipziger Volkszeitung,ORG,-0.05000000000000001,0.0,de,3
Union,Union,ORG,0.6666666666666666,0.0,de,3
Kunstverein,Kunstverein,ORG,0.0,0.0,de,3
E-Autos,E-Autos,ORG,-0.5666666666666667,0.0,de,3
LNG,LNG,ORG,-0.3333333333333333,0.0,de,3
Intel,Intel,ORG,0.0,0.0,de,3
Hause,Hause,ORG,0.18333333333333332,0.0,de,3
EU-Ebene,EU-Ebene,ORG,0.9,0.0,de,3
Bundes,Bundes,ORG,0.0,0.0,de,3
Europäische Union,Europäische Union,ORG,0.0,0.0,de,3
LSF,LSF,ORG,0.25,0.0,de,3
SPD-Chef,SPD-Chef,ORG,0.0,0.0,de,3
CSU,CSU,ORG,-0.16666666666666666,0.5,de,3
Ferrari,Ferrari,ORG,0.0,0.0,de,3
Müritz Sail,Müritz Sail,ORG,0.0,0.0,de,3
Bundesliga,Bundesliga,ORG,0.0,0.0,de,3
Wetterdienst,Wetterdienst,ORG,0.2333333333333333,0.0,de,3
Expertenkommission der Bundesregierung,Expertenkommission der Bundesregierung,ORG,0.7999999999999999,0.0,de,3
Aschermittwoch,Aschermittwoch,ORG,0.15000000000000002,0.0,de,2
Ousmane Dembélé,Ousmane Dembélé,ORG,0.0,0.0,de,2
deutschen Schlittenfahrer,deutschen Schlittenfahrer,ORG,0.0,0.0,de,2
IT-Plattform,IT-Plattform,ORG,0.0,0.0,de,2
Dachauer Polizei,Dachauer Polizei,ORG,0.0,0.0,de,2
Toyota,Toyota,ORG,0.35,0.0,de,2
rot-rot-grüne,rot-rot-grüne,ORG,-0.7,0.0,de,2
Gasimporteur VNG,Gasimporteur VNG,ORG,0.0,0.0,de,2
fürUmwelt,fürUmwelt,ORG,0.0,0.0,de,2
