,summary,Herbst,Winter,Sommer,Frühling,word
mein ziel,2.4391218164003265,0.6618956854673005,-0.35201564661891305,-0.164741480167321,-0.18404512503943912,mein ziel
Verein,2.516059824254641,0.7090645617447973,-0.38307169948996994,-0.19579753303837802,-0.2151011779104959,Verein
ziel verein,2.516059824254641,0.7090645617447973,-0.38307169948996994,-0.19579753303837802,-0.2151011779104959,ziel verein
Strukturen,2.575301140515619,0.7421126519051953,-0.4063440584596626,-0.21906989200807073,-0.23837353688018878,Strukturen
verein struktur,2.575301140515619,0.7421126519051953,-0.4063440584596626,-0.21906989200807073,-0.23837353688018878,verein struktur
aufzubauen,2.721831294839245,0.8138079139760459,-0.46168250733348076,-0.2744083408818888,-0.293711985754007,aufzubauen
struktur aufbau,2.721831294839245,0.8138079139760459,-0.46168250733348076,-0.2744083408818888,-0.293711985754007,struktur aufbau
aufbau zum,3.133371727530991,0.9619729830998681,-0.6024872374088778,-0.41521307095728577,-0.4345167158294038,aufbau zum
verlässt,3.4878614263971355,1.050504180024428,-0.7096663599957473,-0.5223921935441554,-0.5416958384162734,verlässt
jahreswechsel verlass,3.4878614263971355,1.050504180024428,-0.7096663599957473,-0.5223921935441554,-0.5416958384162734,jahreswechsel verlass
verlass vorstandsvorsitzender,3.150731820725428,0.9669787570409104,-0.6080123333030744,-0.4207381668514824,-0.44004181172360046,verlass vorstandsvorsitzender
vorstandsvorsitzender björn,2.8953346948238754,0.8841415392313423,-0.5234782990893739,-0.336204132637782,-0.35550777750989987,vorstandsvorsitzender björn
björn laars,2.3860884671200417,0.6261586929977119,-0.33003298398306785,-0.14275881753147587,-0.1620624624035939,björn laars
nbsp,2.3860884671200417,0.6261586929977119,-0.33003298398306785,-0.14275881753147587,-0.1620624624035939,nbsp
laars nbsp,2.3860884671200417,0.6261586929977119,-0.33003298398306785,-0.14275881753147587,-0.1620624624035939,laars nbsp
Babelsberg,2.753811192364973,0.8278299332270559,-0.473363423763368,-0.2860892573117761,-0.30539290218389414,Babelsberg
nbsp babelsberg,2.349281717571772,0.599592203468283,-0.31448721274659136,-0.1272130462949994,-0.1465166911671175,nbsp babelsberg
babelsberg blick,2.6980191937629145,0.803018208670356,-0.4528954552397855,-0.2656212887881936,-0.28492493366031163,babelsberg blick
kicker-Interview,2.6959045275358124,0.8020450878940008,-0.4521113631966987,-0.264837196745107,-0.2841408416172249,kicker-Interview
blick kicker-interview,2.6959045275358124,0.8020450878940008,-0.4521113631966987,-0.264837196745107,-0.2841408416172249,blick kicker-interview
kicker-interview optimistisch,2.721282126414885,0.8135624988469521,-0.4614807226622009,-0.27420655621060913,-0.2935102010827273,kicker-interview optimistisch
optimistisch zukunft,2.795408812674938,0.8453112848669896,-0.4883559450355818,-0.3010817785839899,-0.320385423456108,optimistisch zukunft
sportlich,2.997517618891184,0.9198178157153089,-0.5581620691729687,-0.3708879027213767,-0.3901915475934948,sportlich
zukunft sportlich,2.997517618891184,0.9198178157153089,-0.5581620691729687,-0.3708879027213767,-0.3901915475934948,zukunft sportlich
björn laar,2.4084422305695683,0.641570347210983,-0.33935774456239576,-0.15208357811080375,-0.17138722298292172,björn laar
laar babelsberg,2.3635295956637257,0.6100584103111908,-0.3205336765462863,-0.13325951009469422,-0.15256315496681233,laar babelsberg
Regionalliga,2.2051311576080077,0.4784495658676362,-0.25116457244698903,-0.06389040599539707,-0.08319405086751518,Regionalliga
mehr regionalliga,2.2051311576080077,0.4784495658676362,-0.25116457244698903,-0.06389040599539707,-0.08319405086751518,mehr regionalliga
Nordost,2.1950427969274933,0.4687563502446935,-0.24657912720709912,-0.05930496075550695,-0.07860860562762498,Nordost
regionalliga nordost,2.1950427969274933,0.4687563502446935,-0.24657912720709912,-0.05930496075550695,-0.07860860562762498,regionalliga nordost
Pa…,2.188630221873453,0.46249876995309774,-0.24365346208537011,-0.056379295633778255,-0.07568294050589616,Pa…
nordost pa…,2.188630221873453,0.46249876995309774,-0.24365346208537011,-0.056379295633778255,-0.07568294050589616,nordost pa…
+4369,2.1852476032554216,0.45916717562098,-0.24210672510383974,-0.05483255865224784,-0.07413620352436585,+4369
pa… +4369,2.1852476032554216,0.45916717562098,-0.24210672510383974,-0.05483255865224784,-0.07413620352436585,pa… +4369
+4369 chars,2.1813447394787753,0.45529643156505534,-0.24031912300608602,-0.0530449565544943,-0.07234860142661226,+4369 chars
Eishalle,3.61053148196768,-0.5817748978883736,0.4475377121464397,-0.556958403387232,-0.5762620482593502,Eishalle
eishalle energiekrise,3.398202629364027,-0.5211665648795304,0.4179059530420384,-0.49635007037838896,-0.5156537152505073,eishalle energiekrise
Aufs,2.6360423918272677,-0.2671986098460717,0.25789627402700593,-0.2423821153449302,-0.2616857602170485,Aufs
energiekrise aufs,2.6360423918272677,-0.2671986098460717,0.25789627402700593,-0.2423821153449302,-0.2616857602170485,energiekrise aufs
Verzichten,2.554512051206107,-0.2357811388738375,0.23289354784216176,-0.2109646443726961,-0.2302682892448142,Verzichten
aufs verzicht,2.554512051206107,-0.2357811388738375,0.23289354784216176,-0.2109646443726961,-0.2302682892448142,aufs verzicht
verzicht verzicht,2.5288243425700783,-0.22567441946621072,0.22454367857259003,-0.20085792496506943,-0.22016156983718754,verzicht verzicht
verzicht wegen,2.7297966320555958,-0.3021470241278562,0.2841210415676839,-0.27733052962671473,-0.2966341744988328,verzicht wegen
energiekrise bremen,3.0721202940120302,-0.42028788418411844,0.36209468963747826,-0.3954713896829771,-0.4147750345550951,energiekrise bremen
